country,operating_system,resource_class,resource_name,vcpus,ram,price_per_hour,price_per_month,price_per_spot,currency,is_gpu,is_spot,resource,resource_type,region,flavor_id,gpu_description,is_public,price_per_half_year,price_per_year
usa,linux,rtx8000,N.RTX8000.512,64,512,377.42,196800,113.226,INR,1,1,instances,gpu,atlanta,,,1,1180800.0,2361600.0
usa,linux,rtx4090,N.RTX4090.32,4,32,50.32,26240,50.32,INR,1,0,instances,gpu,atlanta,,,1,157440.0,314880.0
usa,linux,l4,N.L4.16,4,16,47.18,24600,47.18,INR,1,0,instances,gpu,atlanta,,,1,147600.0,295200.0
usa,linux,l4,N.L4.64,16,64,54.15239726,34375,54.1524,INR,1,0,instances,gpu,atlanta,,1x L4,1,206250.0,412500.0
usa,linux,l4,N.L4.96,24,96,104.3664384,66250,104.3665,INR,1,0,instances,gpu,atlanta,,2x L4,1,397500.0,795000.0
usa,linux,l4,N.L4.128,32,128,108.3047945,68750,108.3048,INR,1,0,instances,gpu,atlanta,,2x L4,1,412500.0,825000.0
usa,linux,l40s,N.L40S.48,16,48,210.62,102500,210.62,INR,1,0,instances,gpu,atlanta,,,1,615000.0,1230000.0
usa,linux,l40s,N.L40S.96,32,96,421.23,205000,421.23,INR,1,0,instances,gpu,atlanta,,,1,1230000.0,2460000.0
usa,linux,l40s,N.L40S.192,24,192,168.364726,106875,168.3648,INR,1,0,instances,gpu,atlanta,,2x L40s,1,641250.0,1282500.0
usa,linux,a2,N.A2.32,8,32,0.347502015,220.5882353,0.0696,USD,1,1,instances,gpu,atlanta,8a9d61d8-48b0-42a9-83b7-516467ca49dc,1x A2,1,1323.53,2647.06
usa,linux,a2,N.A2.64,16,64,0.695004029,441.1764706,0.1391,USD,1,1,instances,gpu,atlanta,,2x A2,1,2647.06,5294.12
usa,linux,a30,N.A30.48,12,48,1.042506044,661.7647059,0.3441,USD,1,1,instances,gpu,atlanta,,1x A30,1,3970.59,7941.18
usa,linux,a30,N.A30.96,24,96,2.085012087,1323.529412,0.6881,USD,1,1,instances,gpu,atlanta,,2x A30,1,7941.18,15882.35
usa,linux,a100,N.A100.128,16,128,2.606265109,1654.411765,1.8244,USD,1,0,instances,gpu,atlanta,a6812bd1-b32c-4c94-aaa5-071c826db7c5,1x A100,1,9926.47,19852.94
usa,linux,a100,N.A100.256,32,256,5.212530218,3308.823529,3.6488,USD,1,0,instances,gpu,atlanta,,2x A100,1,19852.94,39705.88
usa,linux,a100,N.A100.512,64,512,10.42506044,6617.647059,7.2976,USD,1,0,instances,gpu,atlanta,,4x A100,1,39705.88,79411.76
usa,linux,rtx a6000,N.RTXA6000.64,16,64,1.085943795,689.3382353,1.086,USD,1,0,instances,gpu,atlanta,,1x RTX A6000,1,4136.03,8272.06
usa,linux,rtx a6000 ,N.RTXA6000.128,24,128,0.93,588.24,0.93,USD,1,0,instances,gpu,atlanta,,1x RTX A6000 ,1,3529.44,7058.88
usa,linux,rtx a6000,N.RTXA6000.192,32,192,2.316680097,1470.588235,2.3167,USD,1,0,instances,gpu,atlanta,,2x RTX A6000,1,8823.53,17647.06
usa,linux,rtx6000 ada,N.RTX6000ADA.64,16,64,1.549279815,983.4558824,1.5493,USD,1,0,instances,gpu,atlanta,,1x RTX6000 Ada,1,5900.74,11801.47
usa,linux,rtx6000 ada,N.RTX6000ADA.128,24,128,1.621676068,1029.411765,1.6217,USD,1,0,instances,gpu,atlanta,,1x RTX6000 Ada,1,6176.47,12352.94
usa,linux,rtx6000 ada,N.RTX6000ADA.192,32,192,3.185435133,2022.058824,3.1856,USD,1,0,instances,gpu,atlanta,,2x RTX6000 Ada,1,12132.35,24264.71
usa,linux,l4,N.L4.32,8,32,0.738441781,468.75,0.7385,USD,1,0,instances,gpu,atlanta,,1x L4,1,2812.5,5625.0
usa,linux,l4,N.L4.64,16,64,0.796358783,505.5147059,0.7964,USD,1,0,instances,gpu,atlanta,,1x L4,1,3033.09,6066.18
usa,linux,l4,N.L4.96,24,96,1.534800564,974.2647059,1.5349,USD,1,0,instances,gpu,atlanta,,2x L4,1,5845.59,11691.18
usa,linux,l4,N.L4.128,32,128,1.592717566,1011.029412,1.5928,USD,1,0,instances,gpu,atlanta,,2x L4,1,6066.18,12132.35
usa,linux,l4,N.L4.192,48,192,3.069601128,1948.529412,3.0697,USD,1,0,instances,gpu,atlanta,,4x L4,1,11691.18,23382.35
usa,linux,l40s,N.L40S.64,16,64,1.259694803,799.6323529,1.2597,USD,1,0,instances,gpu,atlanta,,1x L40s,1,4797.79,9595.59
usa,linux,l40s,N.L40S.128,16,128,1.303132554,827.2058824,1.3032,USD,1,0,instances,gpu,atlanta,,1x L40s,1,4963.24,9926.47
usa,linux,l40s,N.L40S.256,32,256,2.519389605,1599.264706,2.5194,USD,1,0,instances,gpu,atlanta,,2x L40s,1,9595.59,19191.18
usa,linux,l40s,N.L40S.512,64,512,5.03877921,3198.529412,5.0388,USD,1,0,instances,gpu,atlanta,,4x L40s,1,19191.18,38382.35
usa,linux,hgx h100,N.HGXH100.250,26,250,5.791700242,3676.470588,5.7918,USD,1,0,instances,gpu,atlanta,,1x HGX H100,1,22058.82,44117.65
usa,linux,hgx h100,N.HGXH100.500,52,500,11.58340048,7352.941176,11.5836,USD,1,0,instances,gpu,atlanta,,2x HGX H100,1,44117.65,88235.29
usa,linux,hgx h100,N.HGXH100.1000,104,1000,23.16680097,14705.88235,23.1669,USD,1,0,instances,gpu,atlanta,,4x HGX H100,1,88235.29,176470.59
usa,linux,hgx h100,N.HGXH100.2000,208,2000,46.33360193,29411.76471,46.3337,USD,1,0,instances,gpu,atlanta,,8x HGX H100,1,176470.59,352941.18
usa,windows,a2,W.N.A2.32,8,32,0.386885576,245.5882353,0.0774,USD,1,1,instances,gpu,atlanta,5571af2d-bf14-437a-aba2-a7f29ea78127,1x A2,1,1473.53,2947.06
usa,windows,a2,W.N.A2.64,16,64,0.773771152,491.1764706,0.1548,USD,1,1,instances,gpu,atlanta,,2x A2,1,2947.06,5894.12
usa,windows,a30,W.N.A30.48,12,48,1.101581386,699.2647059,0.3636,USD,1,1,instances,gpu,atlanta,,1x A30,1,4195.59,8391.18
usa,windows,a30,W.N.A30.96,24,96,2.203162772,1398.529412,0.7271,USD,1,1,instances,gpu,atlanta,,2x A30,1,8391.18,16782.35
usa,windows,a100,W.N.A100.128,16,128,2.685032232,1704.411765,1.8796,USD,1,0,instances,gpu,atlanta,c6867349-8152-4176-98b1-90f2a54fdc58,1x A100,1,10226.47,20452.94
usa,windows,a100,W.N.A100.256,32,256,5.370064464,3408.823529,3.7591,USD,1,0,instances,gpu,atlanta,,2x A100,1,20452.94,40905.88
usa,windows,a100,W.N.A100.512,64,512,10.74012893,6817.647059,7.5181,USD,1,0,instances,gpu,atlanta,,4x A100,1,40905.88,81811.76
usa,windows,rtx a6000,W.N.RTXA6000.64,16,64,1.164710919,739.3382353,1.1648,USD,1,0,instances,gpu,atlanta,,1x RTX A6000,1,4436.03,8872.06
usa,windows,rtx a6000 ,W.N.RTXA6000.128,24,128,1.4,888.24,1.4,USD,1,0,instances,gpu,atlanta,,1x RTX A6000 ,1,5329.44,10658.88
usa,windows,rtx a6000,W.N.RTXA6000.192,32,192,2.474214343,1570.588235,2.4743,USD,1,0,instances,gpu,atlanta,,2x RTX A6000,1,9423.53,18847.06
usa,windows,rtx6000 ada,W.N.RTX6000ADA.64,16,64,1.628046938,1033.455882,1.6282,USD,1,0,instances,gpu,atlanta,,1x RTX6000 Ada,1,6200.74,12401.47
usa,windows,rtx6000 ada,W.N.RTX6000ADA.128,24,128,1.739826753,1104.411765,1.7399,USD,1,0,instances,gpu,atlanta,,1x RTX6000 Ada,1,6626.47,13252.94
usa,windows,rtx6000 ada,W.N.RTX6000ADA.192,32,192,3.34296938,2122.058824,3.343,USD,1,0,instances,gpu,atlanta,,2x RTX6000 Ada,1,12732.35,25464.71
usa,windows,l4,W.N.L4.32,8,32,0.777825342,493.75,0.7779,USD,1,0,instances,gpu,atlanta,,1x L4,1,2962.5,5925.0
usa,windows,l4,W.N.L4.64,16,64,0.875125907,555.5147059,0.8752,USD,1,0,instances,gpu,atlanta,,1x L4,1,3333.09,6666.18
usa,windows,l4,W.N.L4.96,24,96,1.652951249,1049.264706,1.653,USD,1,0,instances,gpu,atlanta,,2x L4,1,6295.59,12591.18
usa,windows,l4,W.N.L4.128,32,128,1.750251813,1111.029412,1.7503,USD,1,0,instances,gpu,atlanta,,2x L4,1,6666.18,13332.35
usa,windows,l4,W.N.L4.192,48,192,3.305902498,2098.529412,3.306,USD,1,0,instances,gpu,atlanta,,4x L4,1,12591.18,25182.35
usa,windows,l40s,W.N.L40S.64,16,64,1.338461926,849.6323529,1.3385,USD,1,0,instances,gpu,atlanta,,1x L40s,1,5097.79,10195.59
usa,windows,l40s,W.N.L40S.128,16,128,1.381899678,877.2058824,1.3819,USD,1,0,instances,gpu,atlanta,,1x L40s,1,5263.24,10526.47
usa,windows,l40s,W.N.L40S.256,32,256,2.676923852,1699.264706,2.677,USD,1,0,instances,gpu,atlanta,,2x L40s,1,10195.59,20391.18
usa,windows,l40s,W.N.L40S.512,64,512,5.353847703,3398.529412,5.3539,USD,1,0,instances,gpu,atlanta,,4x L40s,1,20391.18,40782.35
usa,windows,hgx h100,W.N.HGXH100.250,26,250,5.919696817,3757.720588,5.9197,USD,1,0,instances,gpu,atlanta,,1x HGX H100,1,22546.32,45092.65
usa,windows,hgx h100,W.N.HGXH100.500,52,500,11.83939363,7515.441176,11.8394,USD,1,0,instances,gpu,atlanta,,2x HGX H100,1,45092.65,90185.29
usa,windows,hgx h100,W.N.HGXH100.1000,104,1000,23.67878727,15030.88235,23.6788,USD,1,0,instances,gpu,atlanta,,4x HGX H100,1,90185.29,180370.59
usa,windows,hgx h100,W.N.HGXH100.2000,208,2000,47.35757454,30061.76471,47.3576,USD,1,0,instances,gpu,atlanta,,8x HGX H100,1,180370.59,360741.18
usa,linux,a2,N.A2.64,16,64,47.26027397,30000,9.4521,INR,1,1,instances,gpu,atlanta,,2x A2,1,180000.0,360000.0
usa,linux,a30,N.A30.48,12,48,70.89041096,45000,23.3939,INR,1,1,instances,gpu,atlanta,,1x A30,1,270000.0,540000.0
usa,linux,a30,N.A30.96,24,96,141.7808219,90000,46.7877,INR,1,1,instances,gpu,atlanta,,2x A30,1,540000.0,1080000.0
usa,linux,a100,N.A100.256,32,256,354.4520548,225000,248.1165,INR,1,0,instances,gpu,atlanta,,2x A100,1,1350000.0,2700000.0
usa,linux,a100,N.A100.512,64,512,708.9041096,450000,496.2329,INR,1,0,instances,gpu,atlanta,,4x A100,1,2700000.0,5400000.0
usa,linux,rtx6000 ada,N.RTX6000ADA.64,16,64,105.3510274,66875,105.3511,INR,1,0,instances,gpu,atlanta,,1x RTX6000 Ada,1,401250.0,802500.0
usa,linux,rtx6000 ada,N.RTX6000ADA.128,24,128,110.2739726,70000,110.274,INR,1,0,instances,gpu,atlanta,,1x RTX6000 Ada,1,420000.0,840000.0
usa,linux,rtx6000 ada,N.RTX6000ADA.192,32,192,216.609589,137500,216.6096,INR,1,0,instances,gpu,atlanta,,2x RTX6000 Ada,1,825000.0,1650000.0
usa,linux,l4,N.L4.32,8,32,50.2140411,31875,50.2141,INR,1,0,instances,gpu,atlanta,,1x L4,1,191250.0,382500.0
usa,linux,l4,N.L4.192,48,192,208.7328767,132500,208.7329,INR,1,0,instances,gpu,atlanta,,4x L4,1,795000.0,1590000.0
usa,linux,l40s,N.L40S.64,16,64,85.65924658,54375,85.6593,INR,1,0,instances,gpu,atlanta,,1x L40s,1,326250.0,652500.0
usa,linux,l40s,N.L40S.128,16,128,88.6130137,56250,88.6131,INR,1,0,instances,gpu,atlanta,,1x L40s,1,337500.0,675000.0
usa,linux,l40s,N.L40S.256,32,256,171.3184932,108750,171.3185,INR,1,0,instances,gpu,atlanta,,2x L40s,1,652500.0,1305000.0
usa,linux,l40s,N.L40S.512,64,512,342.6369863,217500,342.637,INR,1,0,instances,gpu,atlanta,,4x L40s,1,1305000.0,2610000.0
usa,linux,hgx h100,N.HGXH100.250,26,250,393.8356164,250000,393.8357,INR,1,0,instances,gpu,atlanta,,1x HGX H100,1,1500000.0,3000000.0
usa,linux,hgx h100,N.HGXH100.500,52,500,787.6712329,500000,787.6713,INR,1,0,instances,gpu,atlanta,,2x HGX H100,1,3000000.0,6000000.0
usa,linux,hgx h100,N.HGXH100.1000,104,1000,1575.342466,1000000,1575.3425,INR,1,0,instances,gpu,atlanta,,4x HGX H100,1,6000000.0,12000000.0
usa,linux,hgx h100,N.HGXH100.2000,208,2000,3150.684932,2000000,3150.685,INR,1,0,instances,gpu,atlanta,,8x HGX H100,1,12000000.0,24000000.0
usa,linux,rtx a6000,N.RTXA6000.128,24,128,1.158340048,735.2941176,1.1585,USD,1,0,instances,gpu,atlanta,,1x RTX A6000,1,4411.76,8823.53
usa,windows,a2,W.N.A2.64,16,64,52.61643836,33400,10.5234,INR,1,1,instances,gpu,atlanta,,2x A2,1,200400.0,400800.0
usa,windows,a30,W.N.A30.48,12,48,74.90753425,47550,24.7195,INR,1,1,instances,gpu,atlanta,,1x A30,1,285300.0,570600.0
usa,windows,a30,W.N.A30.96,24,96,149.8150685,95100,49.439,INR,1,1,instances,gpu,atlanta,,2x A30,1,570600.0,1141200.0
usa,windows,a100,W.N.A100.256,32,256,365.1643836,231800,255.6151,INR,1,0,instances,gpu,atlanta,,2x A100,1,1390800.0,2781600.0
usa,windows,a100,W.N.A100.512,64,512,730.3287671,463600,511.2302,INR,1,0,instances,gpu,atlanta,,4x A100,1,2781600.0,5563200.0
usa,windows,rtx6000 ada,W.N.RTX6000ADA.64,16,64,110.7071918,70275,110.7072,INR,1,0,instances,gpu,atlanta,,1x RTX6000 Ada,1,421650.0,843300.0
usa,windows,rtx6000 ada,W.N.RTX6000ADA.128,24,128,118.3082192,75100,118.3083,INR,1,0,instances,gpu,atlanta,,1x RTX6000 Ada,1,450600.0,901200.0
usa,windows,rtx6000 ada,W.N.RTX6000ADA.192,32,192,227.3219178,144300,227.322,INR,1,0,instances,gpu,atlanta,,2x RTX6000 Ada,1,865800.0,1731600.0
usa,windows,l4,W.N.L4.32,8,32,52.89212329,33575,52.8922,INR,1,0,instances,gpu,atlanta,,1x L4,1,201450.0,402900.0
usa,windows,l4,W.N.L4.192,48,192,224.8013699,142700,224.8014,INR,1,0,instances,gpu,atlanta,,4x L4,1,856200.0,1712400.0
usa,windows,l40s,W.N.L40S.64,16,64,91.01541096,57775,91.0155,INR,1,0,instances,gpu,atlanta,,1x L40s,1,346650.0,693300.0
usa,windows,l40s,W.N.L40S.128,16,128,93.96917808,59650,93.9692,INR,1,0,instances,gpu,atlanta,,1x L40s,1,357900.0,715800.0
usa,windows,l40s,W.N.L40S.256,32,256,182.0308219,115550,182.0309,INR,1,0,instances,gpu,atlanta,,2x L40s,1,693300.0,1386600.0
usa,windows,l40s,W.N.L40S.512,64,512,364.0616438,231100,364.0617,INR,1,0,instances,gpu,atlanta,,4x L40s,1,1386600.0,2773200.0
usa,windows,hgx h100,W.N.HGXH100.250,26,250,402.5393836,255525,402.5394,INR,1,0,instances,gpu,atlanta,,1x HGX H100,1,1533150.0,3066300.0
usa,windows,hgx h100,W.N.HGXH100.500,52,500,805.0787671,511050,805.0788,INR,1,0,instances,gpu,atlanta,,2x HGX H100,1,3066300.0,6132600.0
usa,windows,hgx h100,W.N.HGXH100.1000,104,1000,1610.157534,1022100,1610.1576,INR,1,0,instances,gpu,atlanta,,4x HGX H100,1,6132600.0,12265200.0
usa,windows,hgx h100,W.N.HGXH100.2000,208,2000,3220.315068,2044200,3220.3151,INR,1,0,instances,gpu,atlanta,,8x HGX H100,1,12265200.0,24530400.0
usa,windows,rtx a6000,W.N.RTXA6000.128,24,128,1.276490733,810.2941176,1.2765,USD,1,0,instances,gpu,atlanta,,1x RTX A6000,1,4861.76,9723.53
usa,linux,a30,N.A30.32,8,32,1.013547542,643.3823529,0.3345,USD,1,1,instances,gpu,atlanta,ef786937-4a70-494b-bb98-bbba7d02e071,1x A30,1,3860.29,7720.59
usa,linux,a30,N.A30.64,16,64,2.027095085,1286.764706,0.669,USD,1,1,instances,gpu,atlanta,ec640679-8d51-4457-a1c0-e0dd921f7961,2x A30,1,7720.59,15441.18
usa,linux,l40s,N.L40S.192,24,192,2.475951853,1571.691176,2.476,USD,1,0,instances,gpu,atlanta,,2x L40s,1,9430.15,18860.29
usa,windows,a30,W.N.A30.32,8,32,1.052931104,668.3823529,0.3475,USD,1,1,instances,gpu,atlanta,b0b0a1ef-ac7b-4da9-8270-6a638afe3d1a,1x A30,1,4010.29,8020.59
usa,windows,a30,W.N.A30.64,16,64,2.105862208,1336.764706,0.695,USD,1,1,instances,gpu,atlanta,39e2d9fd-8d6d-462f-8856-fa4524276dfe,2x A30,1,8020.59,16041.18
usa,windows,l40s,W.N.L40S.192,24,192,2.594102538,1646.691176,2.5942,USD,1,0,instances,gpu,atlanta,,2x L40s,1,9880.15,19760.29
india,windows,a100,W.N.A100.96,16,96,3.42,1563,2.394,USD,1,0,instances,gpu,mumbai,773b990d-6c7e-41e7-a40d-601bbbcc6373,1x A100-80GB,1,9378.0,18756.0
india,windows,a100,W.N.A100.128,16,128,2.148025786,1363.529412,1.5037,USD,1,0,instances,gpu,mumbai,d27ef842-d706-45a8-9f8c-03e68dd64ccd,1x A100,1,8181.18,16362.35
india,windows,a100,W.N.A100.192,32,192,6.85,3125,4.795,USD,1,0,instances,gpu,mumbai,,2x A100-80GB,1,18750.0,37500.0
india,windows,a30,W.N.A30.32,8,32,0.842344883,534.7058824,0.5897,USD,1,0,instances,gpu,mumbai,0179be42-1e87-4b23-b976-7f5cb1bd1ea8,1x A30,1,3208.24,6416.47
india,windows,a30,W.N.A30.64,16,64,1.684689766,1069.411765,1.1793,USD,1,0,instances,gpu,mumbai,00bfaed3-8cc1-4082-b8c4-bfc2570547cc,2x A30,1,6416.47,12832.94
india,windows,a2,W.N.A2.16,8,16,0.32,188,0.224,USD,1,0,instances,gpu,mumbai,a6d9f39d-e07b-4f1d-ac31-2bd211e09a47,1x A2-16GB,1,1128.0,2256.0
india,windows,a2,W.N.A2.32,8,32,0.309508461,196.4705882,0.2167,USD,1,0,instances,gpu,mumbai,cc467550-7e32-48b9-842e-65f176437737,1x A2,1,1178.82,2357.65
india,windows,rtx a6000,W.N.RTXA6000.64,16,64,0.931768735,591.4705882,0.6523,USD,1,0,instances,gpu,mumbai,,1x RTX A6000,1,3548.82,7097.65
india,windows,rtx a6000,W.N.RTXA6000.128,24,128,1.021192587,648.2352941,0.7149,USD,1,0,instances,gpu,mumbai,,1x RTX A6000,1,3889.41,7778.82
india,windows,rtx a6000,W.N.RTXA6000.192,32,192,1.979371475,1256.470588,1.3856,USD,1,0,instances,gpu,mumbai,,2x RTX A6000,1,7538.82,15077.65
india,windows,rtx6000 ada,W.N.RTX6000ADA.64,16,64,1.30243755,826.7647059,1.3025,USD,1,0,instances,gpu,mumbai,,1x RTX6000 Ada,1,4960.59,9921.18
india,windows,rtx6000 ada,W.N.RTX6000ADA.128,24,128,1.391861402,883.5294118,1.3919,USD,1,0,instances,gpu,mumbai,,1x RTX6000 Ada,1,5301.18,10602.35
india,windows,rtx8000,W.N.RTX8000.128,16,128,1.56,813,1.56,USD,1,0,instances,gpu,mumbai,,1x RTX8000 - 48 GB,1,4878.0,9756.0
india,windows,rtx8000,W.N.RTX8000.256,32,256,3.12,1625,3.12,USD,1,0,instances,gpu,mumbai,,2x RTX8000 - 48 GB,1,9750.0,19500.0
india,windows,rtx8000,W.N.RTX8000.512,64,512,6.23,3250,6.2301,USD,1,0,instances,gpu,mumbai,,4x RTX8000 - 48 GB,1,19500.0,39000.0
india,windows,rtx4090,W.N.RTX4090.32,4,32,0.84,438,0.84,USD,1,0,instances,gpu,mumbai,,1x RTX4090 - 24GB,1,2628.0,5256.0
india,windows,l4,W.N.L4.16,4,16,0.78,406,0.4134,USD,1,1,instances,gpu,mumbai,,1x L4 - 24 GB,1,2436.0,4872.0
india,windows,l4,W.N.L4.64,16,64,0.700100725,444.4117647,0.3711,USD,1,1,instances,gpu,mumbai,,1x L4,1,2666.47,5332.94
india,windows,l4,W.N.L4.96,24,96,1.322360999,839.4117647,0.7009,USD,1,1,instances,gpu,mumbai,,2x L4,1,5036.47,10072.94
india,windows,l4,W.N.L4.128,32,128,1.40020145,888.8235294,0.7422,USD,1,1,instances,gpu,mumbai,,2x L4,1,5332.94,10665.88
india,windows,l40s,W.N.L40S.48,16,48,3.34,1625,2.2712,USD,1,0,instances,gpu,mumbai,,1x L40s - 48 GB,1,9750.0,19500.0
india,windows,l40s,W.N.L40S.96,32,96,6.68,3250,4.5424,USD,1,0,instances,gpu,mumbai,,2x L40s - 48 GB,1,19500.0,39000.0
india,windows,l40s,W.N.L40S.192,24,192,2.075282031,1317.352941,1.4112,USD,1,0,instances,gpu,mumbai,,2x L40s,1,7904.12,15808.24
india,linux,a100,N.A100.96,16,96,3.29,1500,2.303,USD,1,0,instances,gpu,mumbai,8c180180-1ce0-4954-97d4-51033f374614,,1,9000.0,18000.0
